epoch,train_loss,val_loss,val_r2,grad_norm,update_norm
1,503.692885246178,490.03340358452806,-4.768658391793927,86.71968108394466,0.05196152416440677
2,499.9396123739174,486.239863788884,-4.724000956164702,86.37532274217118,0.05194905394542388
3,496.20309473351193,482.46413750890486,-4.6795532207026,86.03102989592504,0.05192802680030016
4,492.48359085636133,478.70650525593186,-4.635318487578638,85.68682590250074,0.05189828422339719
5,488.7813536677085,474.9672413128174,-4.591299985642252,85.342734098922,0.05185968818731036
6,485.0966297933131,471.24661300515265,-4.547500861842206,84.99877774445679,0.051812122010393175
7,481.42965889638714,467.5448800072547,-4.503924173056701,84.65497996403248,0.05175549109421709
8,477.780673049699,463.86229368778925,-4.46057287839006,84.3113636929842,0.051689723527915135
9,474.1498961473154,460.19909649937676,-4.4174498319871915,83.96795162354375,0.05161477055846882
10,470.5375433599415,456.5555214159665,-4.374557776410371,83.62476615345288,0.05153060692803382
11,466.9438206372733,452.93179142115184,-4.331899336615711,83.28182933704836,0.05143723108131917
12,463.3689242601949,449.32811904996595,-4.289477014559187,82.93916283913185,0.05133466524777328
13,459.8130404450449,445.74470598604967,-4.247293184454514,82.59678789189552,0.05122295540485813
14,456.27634500156705,442.1817427154372,-4.205350088697519,82.25472525513328,0.051102171129965686
15,452.7590030455448,438.63940823756843,-4.163649834464189,81.91299517992141,0.05097240534952982
16,449.2611687665266,435.11786983352783,-4.122194390982387,81.57161737590958,0.05083377399459028
17,445.78298525047285,431.6172828909288,-4.080985587470393,81.23061098231548,0.05068641557246982
18,442.32458435661664,428.1377907843304,-4.040025111729177,80.88999454267726,0.05053049066433141
19,438.88608664733295,424.6795248095807,-3.999314509369488,80.54978598337304,0.05036618135819991
20,435.4676013693585,421.2426041700528,-3.9588551836498223,80.21000259587697,0.05019369062658239
21,432.0692264843047,417.82713601236065,-3.918648395896879,79.87066102268896,0.05001324165712597
22,428.69104874606165,414.43321550882825,-3.878695266476373,79.53177724683776,0.04982507714384617
23,425.3331438224013,411.06092598372754,-3.838996776279112,79.19336658483194,0.04962945854537402
24,421.9955764578573,407.7103390801066,-3.7995537686848886,78.85544368290493,0.04942666531544957
25,418.6784006747793,404.3815149638887,-3.76036695196513,78.51802251638199,0.0492169941095712
26,415.3816600093375,401.07450256183887,-3.721436902084233,78.18111639197696,0.0490007579703384
27,412.1053877791786,397.78933982996,-3.6827640658591143,77.84473795281636,0.04877828549264194
28,408.8496073794031,394.5260540488886,-3.644348764436602,77.50889918597673,0.04854991996850282
29,405.61433260354977,391.2846621429156,-3.606191197048936,77.17361143231604,0.04831601851007842
30,402.39956798632255,388.0651710193404,-3.5682914450086356,76.83888539837787,0.048076951148181696
31,399.2053091648714,384.867577924983,-3.5306494759053484,76.50473117014602,0.04783309990263121
32,396.03154325555283,381.69187081682105,-3.493265147968982,76.17115822843186,0.047584857819899136
33,392.8782492432174,378.5380287438746,-3.4561382145652324,75.83817546568088,0.0473326279728815
34,389.74539838022065,375.40602223763767,-3.419268328791741,75.50579120399148,0.047076822417204026
35,386.63295459251106,372.2958137085378,-3.3826550481451987,75.17401321414988,0.04681786109831878
36,383.5408748903107,369.20735784609144,-3.346297839231963,74.84284873549265,0.04655617070375993
37,380.46910978107684,366.140602020615,-3.3101960824969936,74.51230449642112,0.046292183455318624
38,377.41760368260213,363.0954866845398,-3.2743490769481154,74.18238673540203,0.04602633583657677
39,374.38629533427866,360.07194577156173,-3.238756044854795,73.85310122230257,0.04575906725220336
40,371.3751182047186,357.0699070920354,-3.203416136402712,73.52445327991805,0.04549081861665964
41,368.38400089408185,354.0892927231945,-3.168328434287422,73.1964478055648,0.045222030871464085
42,365.41286752961526,351.13001939293525,-3.1334919582322396,72.86908929262088,0.04495314343191573
43,362.4616381530504,348.19199885605633,-3.0989056694173263,72.54238185190991,0.0446845925661311
44,359.5302290986481,345.27513826198293,-3.0645684748085262,72.2163292328349,0.04441680971138028
45,356.61855336080174,342.3793405131354,-3.030479231376072,71.89093484417815,0.04415021973496487
46,353.7265209502355,339.50450461321674,-2.996636750194612,71.56620177449528,0.04388523914921014
47,350.85403923794206,336.6505260048044,-2.9630398004173335,71.24213281203865,0.04362227429248598
48,348.00101328611396,333.8172968957281,-2.9296871131180713,70.91873046415677,0.043361719490460235
49,345.16734616541726,331.0047065738018,-2.896577384996323,70.59599697612231,0.043103955213950926
50,342.3529392580522,328.21264170956323,-2.86370928194109,70.27393434934993,0.04284934625171134
51,339.55769254612886,325.4409866467416,-2.831081442450254,69.9525443589717,0.042598239918176566
52,336.78150488497306,322.68962368024415,-2.7986924809030262,69.63182857074497,0.04235096431755354
53,334.0242742610562,319.958433321511,-2.766540990683697,69.31178835727138,0.04210782668658357
54,331.28589803431726,317.2472945511445,-2.7346255471555803,68.99242491351333,0.04186911183878598
55,328.5662731647234,314.55608505876785,-2.7029447104846245,68.6737392715969,0.04163508073296158
56,325.86529642298564,311.884681470122,-2.671497028312787,68.35573231489681,0.041405969188159454
57,323.1828645854187,309.2329595614468,-2.640281038281723,68.03840479139964,0.041181986766173434
58,320.5188746130036,306.60079446124195,-2.609295270407911,67.721757326349,0.040963315840939526
59,317.87322381478054,303.98806083954247,-2.5785382493107996,67.40579043417644,0.04075011087196925
60,315.2458099957677,301.39463308488024,-2.5480084962959872,67.09050452972625,0.040542497896218804
61,312.63653158966804,298.82038546914373,-2.5177045312959514,66.7758999387859,0.04034057424961809
62,310.0452877766874,296.26519230058346,-2.487624874671223,66.46197690793325,0.0401444085259415
