epoch,train_loss,val_loss,val_r2,grad_norm,update_norm
1,503.692885246178,481.851243306715,-4.672338248709094,86.71968108394466,0.1643167666249543
2,491.8799187910312,473.3180742140441,-4.5718860404821475,85.63083125783261,0.11749871136942697
3,483.46750873295855,466.27138605385966,-4.488932640790914,84.84597957085113,0.0975126128049255
4,476.5162878145878,460.0875153787626,-4.416136302413312,84.19139186976459,0.08596935395727778
5,470.413119323647,454.4777991157316,-4.350098892392682,83.61204774376488,0.07832645257607175
6,464.87414879392077,449.2816845404498,-4.288930388918915,83.08245093440068,0.0728507384115987
7,459.7414746563732,444.39945893445014,-4.231456976888906,82.58840668791792,0.06872026063347966
8,454.91701941132993,439.76443941925936,-4.176893667476016,82.12109064533101,0.06548918144211655
9,450.33518712749213,435.329598833265,-4.124686858357439,81.67459537485544,0.06289233510592172
10,445.94971277336083,431.0604198420544,-4.074430212517439,81.24474998699523,0.06076100741571281
11,441.7266351316481,426.9307671098747,-4.025816065574752,80.8284892504476,0.058982161127629745
12,437.64023732498595,422.920354637111,-3.9786056113560475,80.42348907257379,0.05747690037904008
13,433.6705559521412,419.01311521411475,-3.932609707155758,80.02794280075899,0.056188298745197734
14,429.8017773728358,415.1961085274731,-3.8876760199961424,79.64041717892556,0.055074134941356434
15,426.0211637326643,411.45876558009,-3.8436801319633505,79.25975587401837,0.05410235918282113
16,422.31830975036513,407.79235109339623,-3.8005192116225137,78.88501270738526,0.053248155796363585
17,418.6846138962263,404.18957176097433,-3.7581074023912837,78.51540414150631,0.052491978490551226
18,415.1128930232929,400.6442848027844,-3.7163723916489957,78.15027465152514,0.051818199671770294
19,411.5970956520887,397.15127716217177,-3.675252811450532,77.78907095808812,0.05121415945613203
20,408.1320847395261,393.7060955137029,-3.6346962373837064,77.43132250156091,0.05066948189815108
21,404.7134704262092,390.304913505008,-3.5946576257442624,77.0766264055578,0.05017557412557951
22,401.33747940830983,386.94442674197563,-3.555098077304754,76.72463573025752,0.04972525332078896
23,398.0008515990761,383.62176875795984,-3.5159838481066057,76.37505017696263,0.04931246475674142
24,394.70075743143747,380.33444307129577,-3.477285549643237,76.02760864667297,0.04893206579254393
25,391.43473098620365,377.0802677308087,-3.438977496051476,75.68208322010952,0.04857965839314934
26,388.2006154045147,373.857329664657,-3.401037166707516,75.33827424108975,0.048251457856204626
27,384.99651794386034,370.6639468050483,-3.363444760360231,74.99600626607224,0.04794418891299112
28,381.8207726834625,367.49863643970855,-3.3261828225656185,74.65512470076636,0.0476550027820599
29,378.6719093553606,364.36008859362516,-3.289235932337486,74.3154929869762,0.04738141044959708
30,375.54862712446993,361.24714350766527,-3.2525904370264325,73.97699023401552,0.04712122865961912
31,372.4497723997193,358.1587724790762,-3.216234226774797,73.63950921228086,0.046872535970821715
32,369.37431995361936,355.09406148004416,-3.180156541674827,73.302954644106,0.046633636876116914
33,366.3213567764021,352.05219708674656,-3.144347806125907,72.9672417403821,0.046403032453893114
34,363.29006820534397,349.03245434154076,-3.108799485948616,72.63229494170484,0.04617939637369662
35,360.27972595875104,346.0341862415002,-3.0735039646440914,72.29804683078329,0.04596155534588365
36,357.28967777365546,343.0568146021344,-3.038454435842012,71.96443718908688,0.045748473307593684
37,354.3193384011734,340.09982208929875,-3.00364480950049,71.63141217562419,0.04553923879215879
38,351.3681817571334,337.16274524760377,-2.9690696298367127,71.29892360966001,0.04533305504705267
39,348.43573406055594,334.24516838202373,-2.9347240033014215,70.9669283423001,0.04512923255453373
40,345.5215678207733,331.34671817237796,-2.90060353518075,70.63538770439506,0.044927183674590664
41,342.6252965568892,328.46705891903787,-2.866704273628834,70.30426702025223,0.04472641917509642
42,339.74657015200495,325.60588833348373,-2.8330226601143718,69.97353517831017,0.044526546441223475
43,336.8850707600431,322.76293379988186,-2.799555485412021,69.64316425129464,0.04432726916605135
44,334.04050919574763,319.9379490441987,-2.7662998503913148,69.31312915949687,0.044128388316963224
45,331.2126217490444,317.1307111559657,-2.733253130956965,68.98340737175067,0.04392980414739609
46,328.4011673738113,314.3410179149661,-2.700412946578703,68.65397863945702,0.043731518980085204
47,325.605925208546,311.56868538115657,-2.667777131919907,68.32482475965679,0.043533640425691515
48,322.8266923926678,308.81354571126434,-2.6353437111346514,67.99592936369491,0.04333638462001588
49,320.0632821474367,306.0754451699528,-2.6031108744552065,67.6672777284808,0.043140078965928204
50,317.3155220948539,303.3542423073898,-2.571076956738433,67.33885660773788,0.04294516375732828
51,314.583252791523,300.6498062786777,-2.539240417682154,67.01065408096488,0.04275219195033964
52,311.8663264573726,297.96201528405254,-2.5075998234632375,66.68265941811441,0.0425618262449082
53,309.16460588141507,295.2907551122213,-2.4761538295897987,66.35486295823345,0.04237483256733288
54,306.47796348837716,292.6359177727898,-2.444901164802188,66.02725600051792,0.042192069026559774
55,303.8062805511082,289.9974002076055,-2.4138406159029526,65.69983070641257,0.04201446948525392
56,301.149446534187,287.3751030750651,-2.382971013445746,65.37258001154426,0.04184302107423351
57,298.507358554144,284.76892960608603,-2.3522912182678573,65.04549754641484,0.041678735316555464
58,295.87992094126935,282.1787845354726,-2.3218001089102875,64.71857756490863,0.04152261303509003
59,293.2670448872022,279.6045731176991,-2.2914965700315766,64.3918148797853,0.0413756038927764
60,290.66864816154254,277.04620024143435,-2.2613794819840134,64.06520480444316,0.04123856222255837
61,288.08465487981823,274.50356966204436,-2.231447711778679,63.73874310035123,0.04111220166630152
62,285.514995304521,271.9765833753238,-2.2017001057130363,63.41242592965764,0.040997051935725136
